,review_comment_message,is_good_review
0,Recebi bem antes do prazo estipulado.,1
1,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,1
2,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,1
3,"Mas um pouco ,travando...pelo valor ta Boa.
",1
4,"Vendedor confiável, produto ok e entrega antes do prazo.",1
5,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",0
6,Péssimo,0
7,Loja nota 10,1
8,obrigado pela atençao amim dispensada,1
9,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",1
10,relógio muito bonito e barato.,1
11,Não gostei ! Comprei gato por lebre,0
12,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",0
13,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",1
14,"Recomendo ,",1
15,muito boa ,1
16,"Tô completamente apaixonada, loja super responsável e confiável!",1
17,Nada de chegar o meu pedido.,0
18,Muito bom. muito cheiroso.,1
19,"otimo vendedor chegou ate antes do prazo , adorei o produto",1
20,Processo de compra tranquilo e eficiente.,1
21,Tomara q dure pois é de pelinho.,1
22,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",0
23,boa,1
24,MT lindo,1
25,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",1
26,"Amei achei lindo ,muito delicado adorei",1
27,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",1
28,Recomendo o vendedor... ,1
29,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",0
30,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",1
31,Eu comprei duas unidades e só recebi uma e agora o que faço?,0
32,"Produto bom, porém o que veio para mim não condiz com a foto do anúncio.",0
33,"Produto muito inferior, mal acabado.",0
34,O kit mochila patrulha canina é lindo!! Meu netinho vai amar!! Obrigada!!,1
35,Maravilha ,1
36,Entrega no prazo,0
37,Cumpriu o prometido na compra e com o uma entrega em tempo satisfatório ,1
38,Pedi reembolso e sem resposta até momento ,0
39,Super rápido.,1
40,"Satisfeito
",1
41,"estao de parabens... sempre chega com muiiita antecedencia..

Muito obrigada.... ",1
42,OK RECOMENDO,1
43,"Produto chegou, mas meu PC não conseguiu reconhecer as portas USB.",0
44,"Produto de muito boa qualidade, chegou antes do prazo prometido",1
45,"Este foi o pedido
Balde Com 128 Peças - Blocos De Montar 2 un - R$ 25,00 cada (NÃO FOI ENTREGUE)
Vendido e entregue targaryen
Tapete de Eva Nº Letras 36 Peças Crianças 1 un - R$ 35,90 (ESTE FOI ENTREG",0
46,"Entrega muito rápida
Parabéns",1
47,comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois,0
48,"Estava faltando apenas um produto, eu recebi hoje , muito obrigada!
Tudo certo!

Att 

Elenice.",1
49,"A bolsa térmica além de linda é super espaçosa . Produto de acordo com o anunciado e a entrega super rápida , entregou bem antes do prazo .",1
50,Demorou de mais pra entrega ,0
51,super rapido a entrega .... chegou antes da data... ,1
52,A entrega foi dividida em duas. Não houve comunicado do loja. Cheguei a pensar que só haviam enviado parte do produto. ,0
53,Não funciona não faz sincronismo,0
54,Recomendo a todos os clientes,1
55,Gostei ,0
56,OTIMA,1
57,"Gostei muito do jogo de banho.A estampa florida, o bordado, tudo muito bonito. Ótimo produto.",1
58,"Chegou apenas uma peça, mas na nota e na garantia constam as duas joias.",0
59,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,0
60,"Comprei o relógio, unissex e enviaram um relógio feminino, bem menor que as especificações do anúncio.",0
61,Sempre compro na lannister.Pra mim é a melhor loja on-line,1
62,Produto de qualidade excelente,1
63,Ótimo custo-benefício,1
64,OK,1
65,Gostei da atenção com a entrega,1
66," Se fosse vidro tinha quebrado; veio na caixa sem nenhuma proteção por dentro, a caixa estava muito amassada. Desculpe.. mas gosto de comprar de vcs
.",1
67,A peça não serviu,0
68,Comprei o produto dia 25 de fevereiro e hoje dia 29 de marco não fora entregue na minha residência. Não sei se os correios desse Brasil e péssimo ou foi a própria loja que demorou postar.,0
69,"fiz minha compra faz 30 dias e não recebi ainda meu produto.
Precisa melhorar nas entregas",0
70,"Espero receber esta semana, o que não seria tão extravagante, porém...mais atrazo do que isso me faria desistir do baratheon.",1
71,"Entregou no prazo certo, fiquei feliz com a compra que fiz",1
72,Lindo relógio adorei,1
73,"Comprei dois lustres pendentes, com a parceira targaryen e só me enviaram um lustre. Abri reclamação, mas ainda não recebi resposta. Aguardo solução por parte de Lojas lannister.",0
74,Muito bom alta qualidade!,1
75,"Produto bonito, entregue bem valado e dentro do prazo. Recomendo!",1
76,Muito bom,1
77,Faltou 1 produto e os que recebi 1 veio quebrado,0
78,"chegou dentro do prazo e o produto é de excelente qualidade! Acabou as dores nas costas, estou dormindo muito bem!",1
79,aqui está descrevendo como entregue só que ate agora não recebi,0
80,"Acho que rastreando o produto devia ser melhor e mais preciso, mas no geral foi uma ótima experiência ",1
81,Ainda não tive a oportunidade de testar,1
82,Comecei a usar agora ,0
83,nada a declarar,1
84,"Comprar um produto correto na capa mas interno ser outro.???????
",0
85,entrega super rapida,0
86,"Fiz um pedido de 4 garrafas de azeite.Chegaram 2 num dia e as outras 2 quase 48 horas depois.Contato com a loja muito dificil,tanto via e-mail qto por telef.O suspense terminou mas lá não compro mais",0
87,O produto chegou muito rapido e de boa qualidade recomendo o produto,1
88,"Não posso! Estou aguardando a chegada do produto que comprei!Logo que isso aconteça, terei minha opinião formada!",0
89,Comprei dois produtos e recebi somente um. Mandei dois emails para a loja e não tive nenhum retorno. Estou insatisfeita.,0
90,Não recomendaria esta loja nem pretendo voltar a comprar nela.A mercadoria foi entregue após o prazo e quase 1 mês após a compra. No site das lannister costumam chegar antes do prazo. Estranhei muito,0
91,Recomendo,1
92,Atendeu minha expectativa.,1
93,Entrega antes do prazo. Produto muito prático e de fácil manuseio. ,1
94,decepcionado,0
95,"otimo produto só nao veio manual, mas sem problemas.",1
96,"Uma das peças não encaixava, estava de diâmetro diferente. Eu tive que serrar e martelar para poder caber e encaixar.
De resto, tudo ok.",1
97,Excelente produto.,1
98,Tudo certo,1
99,"Demora na entrega, detestei o atendimento e NUNCA mais compro. baratheon quando vendia por eles mesmos era bem melhor! ",0
100,Produto muito bom,1
101,o meu produto não chegou... segundo o rastreio está parado em Ribeirão Preto sp... ,0
102,produto deu defeito na 1 vez de uso.,0
103,super recomendo produto profissional de qualidade,1
104,até agora não recebi o produto.,0
105, A loja anuncia um produto e entrega outro.,0
106,muito bom e rapido quando vi ja tinha chegado,1
107,O produto chegou muito bem,1
108,otimo,1
109,"Apesar de ter sido entregue rapidamente, substituíram a caixa METEORO pela caixa BORNE. Quando tentei reclamar nas lannister o sistema estaav fora do ar. A guitarra e acessórios estavam corretos.",0
110,Muito satisfeito,1
111,parabéns para loja e revendedor apesar de ter demorado um pouco,1
112,"Entregue dentro do prazo, e com bom período de validade.",1
113,"O Jogo de toalhas é lindo mais bonito do que na foto, amei.",1
114,produto foi entregue com umas das alças com problemas (está faltando 1 pino de fixação),0
115,Foi marcado o dia 14/02 para entrega do pedido e no rastreamento marcava que o produto já havia sido entregue na data mas na realidade não foi entregue. O produto só foi entregue no dia 28/02.,0
116,"LOJA ALÉM DO FRETE SER MUITO CARO . O PRODUTO LEVA QUASE 30 DIAS ÚTEIS , PARA CHEGAR NA SUA CASA",0
117,"Recebi bem rápido, porém veio outro produto, e não o que eu pedi, o modelo veio diferente, a cor, veio uma capinha que não tem zíper, enfim, não recomendo. ",0
118,sempre comprei no stark e estou satisfeito.,1
119,fiz a compra por tabela e graças A Deus deu tudo certo fico muito grato pode confiar.,1
120,"Cancelaram a minha compra um dia antes da entrega, liguei para a lannister e os atendentes não sabiam o que estava acontecendo, uma bagunça, agora estou esperando para ver se vai ser cobrado",0
121,produto de qualidade e eficiência na entrega. recebi muito antes do combinado. recomendo,1
122,Produto bom veio no dentro do prazo chegou em 08 dias estão de parabéns. ,1
123,Enviei 2 solicitações pelo site para trocar o endereço. Recebi a mensagem de que iam me ligar em 48h mas não ligaram.,0
124,"Tudo ok,o baratheon sempre responsável com a suas entregas.",1
125,o acabento que estava na foto era bonito a que chegou foi de um sintetico feio com um acabento todo borrado orrivel nao gostei,0
126,E muito desordenado comprei três produtos mais não veio no dia sertões veio separado e em data separada ,0
127,A,1
128,entrega rapida,1
129,foi bom,1
130,Mercadoria certa entregue no prazo combinado. Grata,1
131,", muito ruim ! ",0
132,Passou dos dias previstos.,0
133,Ao fazer a compra do kit entendi que receberia 2 frascos de 60 cápsulas (cada) e não 2 frascos com 60 cápsulas no total. Só não vou devolver porque estou precisando do produto.,0
134,Entrega bem antes do prazo perfeito!!,1
135,Cada vez que compro mais fico satisfeita parabéns pela honestidade com seus clientes 👏👏👏👏?,1
136,bem rapido a entrega e bom comprar com vcs,1
137,Produto não recomendo não ler em nenhum dispositivo,0
138,"Entrega super rápida, parabéns!",1
139,Tudo rápido e eficiente.,1
140,Creme maravilhoso e entrega super rápida,1
141,"Tentando cancelar o produto desde antes da emissão da nota fiscal. Não fui avisada que estava no correio, não tive nenhuma resposta do cancelamento e nao consigo devolver. ",0
142,"Chegou hoje 
sem comentários",1
143,"Boa Noite

é lamentável, esta loja que tantas compras eu ja fiz e hoje não me da satisfação sequer de um relógio na importância de 50,00 reais ... um produto com defeito e até agora não me deu retor",0
144,Muito bom! Aquilo que esperava!,1
145,A capa protetora não é exatamente o que eu esperava deixa a desejar no tipo material e na qualidade.,0
146,No site o produto parece ter melhor qualidade de material e acabamento.,0
147,"Recebi meu produto corretamente e dentro do prazo,verificando na caixa esta tudo correto,mas ainda não montei.Produto lindo,cor perfeita,amamos.
SUPER RECOMENDO.",1
148,"A embalagem deixou a desejar, por pouco o produto não foi danificado, a caixa estava toda amassada.",0
149,Parabéns .Produto entregue bem antes do prazo.Atendeu às minhas necessidades.,1
150,Recomendo.,1
151,Faltaram os cabos e o manual,0
152,ótimo chegou bem antes do prazo .,1
153,Entregue no prazo produto muito bom.,1
154,"O produto foi embalado apenas com papel pardo sobre a embalagem e enviado pelos correios. Lógico, a embalagem chegou amassada e só deus sabe se o produto está funcionando ou não, ainda não testei.",0
155,Acho q deveriam mandar por sedex ao invés de pac,1
156,"Última vez que compro pois hoje vai fazer 1 mês que fiz a comprar e nada, e se demorar mas tempo de entregar estarei procurando meus direitos contra as lojas lannister e a targaryen.",0
157,Lindo... Só faltou instruções da troca de pulseiras.,1
158,"Produto exatamente conforme descrito.
Chegou bem antes do prazo!",1
159,"O produto chegou bem antes do prazo estipulado, amei o atendimento! Super recomendo ",1
160,"Não gostei do produto, material de péssima qualidade.",0
161,"Dos dois produtos comprados, foi entregue apenas um!",0
162,Nao compro mais na lannister. Se é parceiro da lannister ou não essa targaryen jamais uso novamente. Quando eu ler que é dessa empresa saio correndo. Um absurdo. Quase um mês para entregar. Extra.com ok,0
163,Recebi corretamente o produto,0
164,"recebi o produto dentro do prazo informado, ainda não utilizei.",1
165,"O pedido chegou antes do combinado, muito bom.",1
166,produto entregue conforme anunciado.,1
167,recebe apenas 01 peça do produto! estou precisando da 2 peças restante! ,0
168,LOJA 10,1
169,"O violão que comprei é lindo, porém a cor do adesivo não confere com a foto do ato da compra, mas aprovei.",1
170,Nem fizeram a nota fiscal ,0
171,"Chegou antes do prazo!
Produto excelente!",1
172,trabalho com profissionalismo das lojas lannister. indico com certeza,1
173,"O MP3 player não funciona, mesmo trocando a pilha diversas vezes. Tive que devolver.",0
174,super recomendo o produto que é muito bom!,1
175,"Pré treino muito bom, um dos melhores do mercado, se não for o melhor. ",1
176," A loja postou o produto de e mediato o correio demorou um pouco
",1
177,"Sempre compro no stark e sempre sou bem atendido, site eficiente e produtos de ótima qualidade, recomendo a todos podem comprar de olhos fechados! ",1
178,Muito bom desde da compra a entrega td direitinho e rapido,1
179,Tudo ok!,1
180,A targaryen não é de confiança não entregou a minha compra e colocou no rastreamento do pedido que foi entregue no dia 14/12/17 empresa falsa quero receber meus produtos que foram pagos com boleto bancari,0
181,Entrega e qualidade do produto de acordo com o esperado.,1
182,Excelente recomendo,1
183,"A bolsa e muito bonita por fora
Mas dentro não tem forro 
E é bem fragil 
",0
184,"Quando instalei o cartucho de tinta, a minha impressora indicou que o mesmo estava vazio, e apresentou a mensagem de erro ""!"" em cima do marcador de nível da tinta. Já solicitei a troca. ",0
185,"muito bom, recomendo o produto.",1
186,quanto ao site não tenho o que questionar! sempre cumprem super o combinado ... recomendo sempre! mas o produto é fraco.. ,1
187,bom em todos os aspectos,1
188,Até hoje estou satisfeito com a sbmarino,1
189,Não foram entregue as duas capas de couro compradas. Apenas uma delas. Aguardo a devolução do dinheiro ou a entrega da segunda capa.,0
190,Gostei!,1
191,"Fiquei feliz com. O tecido ,mas acho que faltou o lençol de cima para ficar completo , espero que logo lancem.",0
192,Chegou antes do prazo é a cabeceira é linda.,1
193,"Houve alguma confusão entre vendedor e o stark, pois recebi um email do stark pedindo o cancelamento do produto por algum imprevisto na entrega; neguei e recebi o produto dias depois.",0
194,10,1
195,Gostei do produto chegou no tempo certo os vendedores estão de parabéns,1
196,Atendimento excelente,1
197,Gostei ,1
198,No dia 19 de maio usei e a à alça quebrou sem muito peso ,0
199,Toalha do maior campeão do Brasil maravilhosa ,1
200,"A entrega foi realizado muito antes do previsto. 
Bom produto...estou satisfeita",1
201,Até agora tudo bem estou esperando a entrega do produto,1
202,"A compra ocorreu como o esperado, desde de o pedido até o recebimento do produto. Tudo bem certinho. ",1
203,"O produto foi entregue antes do prazo.
",1
204,"Gostei muito do produto era exatamente boque eu esperava, entrega dentro do prazo, parabéns recomendo a loja",1
205,comprei o produto na cor preta e chegou na cor vermelha.,0
206,"já é a segunda vez que compro nesta loja,super eficiente entrega rápida e antes do prazo contratado, produto bem embalado , Nota 10
Muito Obrigado",1
207,"otimo
",1
208,Pensei que a mochila fosse um material mais resistente.,0
209,"Comprei um produto e veio outro.
Mandei msg informando o erro , porém não obtive resposta.
Obrigado ",0
210,o produto demora muita para chegar !,0
211,"So recebemos um relogio pelo correio

att
",0
212,"entrega rápida, produto conforme esperado",1
213,Tudo como anunciado....Ótimo produto...,1
214,"Produto de boa qualidade, exatamente conforme anunciado, e o preço baixo é uma atrativo a mais.",0
215,"Somente foi entregue uma unidade, ao invés de duas.",0
216," adorei o produto;; recebi antes do prazo combinado ,, ficou muito bonito",1
217,Muito satisfeito.,1
218,Otimo produto porem caro demais !!! ,1
219,"Produtos otimos, entrega rápida.
Super recomendo!!!",1
220,"recebi sim mais com defeito os encaixes sao dois igual e nao fecham 
",0
221,Ainda não recebi,0
222,Tive um pós venda excelente através do Sr Renato,1
223,"Gostei muito do produto, a entrega veio antes do prazo. Recomendo, fica bem encaixado no celular, não tira a elegância do aparelho, como outras as capas que deixam monstruoso com o tamanho.",1
224,Muito bom,1
225,"Até agora nao recebi.Comprei este aparelho por questao de saude,portanto nao recomendo esta loja.",0
226,"Recomendo a todos. Produto de ótima qualidade, entregue sem problemas.",1
227,Produto chegou dentro do prazo. Veio conforme descrição e é excelente.,1
228,"o produto chegou antes do prazo, e gostei bastante!! agora meu rapazinho de 3 aninhos vai aproveitar ao maximo!!",1
229,"Gostaria de saber quando chegará meu produto?
Pois já se passou a data prevista para entrega , gostaria de uma resposta estou aguardando!",0
230,Loja Nota 10,1
231,Parabéns. Recebi antes do prazo . tudo correto como foi combinado.,1
232,"O produto entregue difere do pedido
trata-se de um produto inferior!
Gostaria que fosse solucionado o problema!
Não estou satisfeito com procedimento!",0
233,Muito bom mesmo!,1
234,"Comprei o produto, paguei no boleto e só recebi metade do produto, anunciaram uma coisa é mandaram outra. Muito insatisfeita 😡😡😡",0
235,Entrega antes do prazo produto muito bem conservado. ,1
236,Produto de ótima qualidade. Adorei!,1
237,"Apesar da demora em expedir a nota fiscal, depois de expedida a entrega foi rápida e o produto veio bem embalado. Recomendo.",1
238,Comprei o produto dia em inicio de março e não recebi no prazo abrindo até um protocolo para resolverem minha situação,0
239,"Não recebi o produto, assim como nenhum contato por parte do .vendedor",0
240,Nem ratrear estou conseguindo:(,0
241,nota 10,1
242,Esperando o instalador,0
243,"comprei um produto para ser entregue por essa loja
e ainda não recebi
pois assim já se passou a data de entrega",0
244,Ótimo serviço,1
245,"Ótima compra. Ótimo produto. Só senti falta de algum comunicado entre a compra e a chegada do produto, só contato. Mas valeu.",1
246,veio conforme o pedido mais o pós venda não respondeu nenhuma das minhas perguntas,0
247,"Comprei duas mochilas, recebi apenas uma, o natal está chegando e até agora nada!",0
248,Perfeitos😁,1
249,"O preço foi ótimo, o prazo de entrega que é longo (mais de 1 mês para entregar). Comprei 2 cartuchos e entregaram apenas 1, reclamei e enviaram o outro ainda dentro do prazo de entrega.",0
250,"prazo foi estendido,porém entregue no prazo divulgado na propaganda. Cadeira conforme foto, vem para montar, mais fácil e linda",1
251,"Simplesmente lindo!!
Adorei o produto!!
Tamanho perfeito!!
Já comprei várias produtos, já faz anos que compro no baratheon !!",1
252,MUITO BOM! CHEGOU DENTRO DO PRAZO.,1
253,"Otimo, preço, entregou antes do prazo e produto de ótima qualidade.
",1
254,"comprei um relogio de presente de natal para meu filho e ate agora nao chegou. enviei mensagens e na ultima conversa o relogio chegaria ontem, porem nao recebi nada.",0
255,só poderia entregar mais rápido fim de ano ,1
256,"Otima Venda, tudo perfeito.",1
257,Produto de ótima qualidade!! Chegou antes do tempo esperado. Amei <3,1
258,"Veio bem embalado, Envio rápido! ",1
259,Estou muito satisfeita com a minha compra e com o recebimento do produto,1
